id,title,current_alt,proposed_alt
gid://shopify/Product/8067418357829,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, AQUA & TOPAZ)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Aqua & Topaz)"
gid://shopify/Product/8068399169605,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, ERINITE & LIGHT SIAM)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Erinite & Light Siam)"
gid://shopify/Product/8068403888197,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, TOPAZ & SIAM RUBY)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Topaz & Siam Ruby)"
gid://shopify/Product/8068481056837,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, SAPPHIRE & GARNET)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Sapphire & Garnet)"
gid://shopify/Product/8068484137029,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, CITRINE & ROSE)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Citrine & Rose)"
gid://shopify/Product/8068622712901,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, SAPPHIRE & LIGHT AMETHYST)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Sapphire & Light Amethyst)"
gid://shopify/Product/8068758110277,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, AQUA & AMBER)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Aqua & Amber)"
gid://shopify/Product/8068764663877,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, EMERALD & GRAPE)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Emerald & Grape)"
gid://shopify/Product/8068781801541,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, AMBER, RUBY)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Amber, Ruby)"
gid://shopify/Product/8068783669317,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, AQUA & SPEARMINT)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Aqua & Spearmint)"
gid://shopify/Product/8068804214853,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, SAPPHIRE & AQUA)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Sapphire & Aqua)"
gid://shopify/Product/8068864049221,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, FUCHSIA & AQUA)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Fuchsia & Aqua)"
gid://shopify/Product/8068870504517,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, AMBER & PINK)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Amber & Pink)"
gid://shopify/Product/8068891148357,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, PINK & FUCHSIA)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Pink & Fuchsia)"
gid://shopify/Product/8068903043141,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, PADPARADSCHA & LIGHT AMETHYST)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Padparadscha & Light Amethyst)"
gid://shopify/Product/8068911071301,"FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (CRYSTAL, LIGHT AMETHYST & GRAPE)",,"Faceted Czech Glass Fire Polished Multi Color Beads (Crystal, Light Amethyst & Grape)"
gid://shopify/Product/8068915593285,FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (ART GLASS CRYSTAL SWIRL),,Faceted Czech Glass Fire Polished Multi Color Beads (Art Glass Crystal Swirl)
gid://shopify/Product/8068917100613,FACETED CZECH GLASS FIRE POLISHED MULTI COLOR BEADS (TORTOISE SHELL GLASS),,Faceted Czech Glass Fire Polished Multi Color Beads (Tortoise Shell Glass)
gid://shopify/Product/8069879955525,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - GOLDEN HORN - MOCHA AGATE,,Faceted Czech Glass Fire Polished Agate Color Beads - Golden Horn - Mocha Agate
gid://shopify/Product/8070054379589,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - GREY HORN AGATE,,Faceted Czech Glass Fire Polished Agate Color Beads - Grey Horn Agate
gid://shopify/Product/8070055723077,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - BURNT HORN - TIGER EYE,,Faceted Czech Glass Fire Polished Agate Color Beads - Burnt Horn - Tiger Eye
gid://shopify/Product/8070068830277,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - BLUE AGATE - SODALITE,,Faceted Czech Glass Fire Polished Agate Color Beads - Blue Agate - Sodalite
gid://shopify/Product/8070078103621,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - GREEN AGATE - MALACHITE,,Faceted Czech Glass Fire Polished Agate Color Beads - Green Agate - Malachite
gid://shopify/Product/8070078791749,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - BLUE TURQUOISE WITH BLACK MATRIX,,Faceted Czech Glass Fire Polished Agate Color Beads - Blue Turquoise With Black Matrix
gid://shopify/Product/8070079184965,FACETED CZECH GLASS FIRE POLISHED  AGATE COLOR BEADS - BROWN HORN AGATE,,Faceted Czech Glass Fire Polished Agate Color Beads - Brown Horn Agate
gid://shopify/Product/8074287644741,FACETED CZECH GLASS FIRE POLISHED BEADS  - DARK TOPAZ WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Dark Topaz With Half Silver Coating
gid://shopify/Product/8074758586437,FACETED CZECH GLASS FIRE POLISHED BEADS  - AMETHYST WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Amethyst With Half Silver Coating
gid://shopify/Product/8074764189765,FACETED CZECH GLASS FIRE POLISHED BEADS  - COBALT WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Cobalt With Half Silver Coating
gid://shopify/Product/8074765631557,FACETED CZECH GLASS FIRE POLISHED BEADS  - SMOKE GREY WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Smoke Grey With Half Silver Coating
gid://shopify/Product/8074771988549,FACETED CZECH GLASS FIRE POLISHED BEADS  - OLIVINE WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Olivine With Half Silver Coating
gid://shopify/Product/8074772480069,FACETED CZECH GLASS FIRE POLISHED BEADS  - DARK AQUA WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Dark Aqua With Half Silver Coating
gid://shopify/Product/8074772709445,FACETED CZECH GLASS FIRE POLISHED BEADS  - BLUE ZIRCON WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Blue Zircon With Half Silver Coating
gid://shopify/Product/8074772873285,FACETED CZECH GLASS FIRE POLISHED BEADS  - LIGHT SIAM RUBY WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Light Siam Ruby With Half Silver Coating
gid://shopify/Product/8074773135429,FACETED CZECH GLASS FIRE POLISHED BEADS  - SIAM RUBY WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Siam Ruby With Half Silver Coating
gid://shopify/Product/8074773856325,FACETED CZECH GLASS FIRE POLISHED BEADS  - CRYSTAL WITH HALF SILVER COATING,,Faceted Czech Glass Fire Polished Beads - Crystal With Half Silver Coating
gid://shopify/Product/8075885543493,3 CUT 9/0 LIGHT TOPAZ TRANSPARENT LUSTER PRECIOSA ORNELA BEADS,,3 Cut 9/0 Light Topaz Transparent Luster Preciosa Ornela Beads
