Product,SKU,Inventory Item ID,Quantity
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (JET BLACK)",11110HF-16ss-23980,gid://shopify/InventoryItem/46952174649413,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110HF-16ss-30020,gid://shopify/InventoryItem/46952174682181,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110HF-16ss-30050,gid://shopify/InventoryItem/46952174714949,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110HF-16ss-30080,gid://shopify/InventoryItem/46952174747717,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110HF-16ss-30340,gid://shopify/InventoryItem/46952174780485,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110HF-20ss-00030,gid://shopify/InventoryItem/46952185659461,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (TOPAZ)",11110HF-20ss-10070,gid://shopify/InventoryItem/46952185692229,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110HF-20ss-10220,gid://shopify/InventoryItem/46952185724997,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110HF-20ss-20020,gid://shopify/InventoryItem/46952185757765,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (AMETHYST)",11110HF-20ss-20050,gid://shopify/InventoryItem/46952185790533,15
